NO,SEKTOR,JENIS_IZIN,BULAN,JUMLAH
10,KESEHATAN,IZIN PRAKTIK TERAPIS WICARA,FEBRUARI,1.0
11,KESEHATAN,IZIN PRAKTIK APOTEKER,FEBRUARI,48.0
12,KESEHATAN,IZIN PRAKTIK SANITARIAN/ TENAGA SANITASI LINGKUNGAN,FEBRUARI,2.0
13,KESEHATAN,IZIN PRAKTIK AHLI TEKNOLOGI LABORATORIUM MEDIK ,FEBRUARI,5.0
14,KESEHATAN,IZIN PRAKTIK PSIKOLOGIS KLINIS,FEBRUARI,10.0
15,KESEHATAN,IZIN PRAKTIK PEREKAM MEDIS DAN INFORMASI,FEBRUARI,5.0
16,KESEHATAN,IZIN PRAKTIK DOKTER UMUM,FEBRUARI,28.0
17,KESEHATAN,IZIN PRAKTIK DOKTER GIGI,FEBRUARI,19.0
18,KESEHATAN,IZIN PRAKTIK DOKTER SPESIALIS,FEBRUARI,57.0
19,KESEHATAN,IZIN PRAKTIK DOKTER SPESIALIS GIGI,FEBRUARI,12.0
20,KESEHATAN,IZIN PRAKTIK LAYANAN DARAH/ TRANSFUSI,FEBRUARI,8.0
21,KESEHATAN,IZIN PRAKTIK ELEKTROMEDIS,FEBRUARI,2.0
22,KESEHATAN,IZIN PRAKTIK / KERJA TENAGA GIZI,FEBRUARI,1.0
23,KESEHATAN,IZIN PRAKTIK PENATA ANESTESI,FEBRUARI,1.0
24,KESEHATAN,TEKNISI GIGI,FEBRUARI,0.0
25,KESEHATAN,ORTOTIK PROSTETIK,FEBRUARI,0.0
26,KESEHATAN,RADIOTERAPIS,FEBRUARI,0.0
27,KESEHATAN,AKUPUNKTUR,FEBRUARI,0.0
28,KESEHATAN,EPIDEMIOLOG KESEHATAN,FEBRUARI,0.0
29,KESEHATAN,TENAGA PROMOSI KESEHATAN DAN ILMU PERILAKU,FEBRUARI,0.0
30,KESEHATAN,PEMBIMBING KESEHATAN KERJA,FEBRUARI,0.0
31,KESEHATAN,TENAGA ADMINISTRASI DAN KEBIJAKAN KESEHATAN,FEBRUARI,0.0
32,KESEHATAN,TENAGA BIOSTATISTIK DAN KEPENDUDUKAN,FEBRUARI,0.0
33,KESEHATAN,TENAGA KESEHATAN REPRODUKSI DAN KELUARGA,FEBRUARI,0.0
34,KESEHATAN,ENTOMOLOG KESEHATAN,FEBRUARI,0.0
35,KESEHATAN,MIKROBIOLOG KESEHATAN,FEBRUARI,0.0
36,KESEHATAN,TEKNIS KARDIOVASKULER,FEBRUARI,0.0
37,KESEHATAN,AUDIOLOGIS,FEBRUARI,0.0
38,KESEHATAN,FISIKAWAN MEDIK,FEBRUARI,1.0
39,KESEHATAN,TENAGA KESEHATAN TRADISIONAL RAMUAN,FEBRUARI,0.0
40,KESEHATAN,TENAGA KESEHATAN TRADISIONAL KETRAMPILAN,FEBRUARI,0.0
41,KESEHATAN,IZIN PRAKTIK PERAWAT GIGI,FEBRUARI,0.0
42,PERTANIAN,IZIN PRAKTEK DOKTER HEWAN WARGA NEGARA INDONESIA,FEBRUARI,0.0
43,PERTANIAN,IZIN PRAKTEK DOKTER HEWAN WARGA NEGARA ASING,FEBRUARI,0.0
44,PERTANIAN,IZIN PRAKTEK PARAMEDIK VETERINER KESEHATAN HEWAN,FEBRUARI,0.0
45,PERTANIAN,IZIN  PRAKTIK PARAMEDIK INSEMINATOR  ,FEBRUARI,0.0
46,PERTANIAN,IZIN PRAKTEK PARAMEDIK VETERINER PEMERIKSAAN KEBUNTINGAN,FEBRUARI,0.0
47,PERTANIAN,IZIN PRAKTEK PARAMEDIK VETERINER ASISTEN TEKNIS REPRODUKSI,FEBRUARI,0.0
48,PERTANIAN,SURAT KETERANGAN PEMENUHAN TEMPAT PRAKTIK DOKTER HEWAN,FEBRUARI,0.0
49,PENDIDIKAN,"IZIN PENDIRIAN SATUAN PENDIDIKAN NON FORMAL (TPA, SPS, KB, BIMBEL, LKP, TK)",FEBRUARI,2.0
50,PENDIDIKAN,"IZIN PENDIRIAN SATUAN PENDIDIKAN (SD,SMP)",FEBRUARI,0.0
51,PENDIDIKAN,IZIN KULIAH KERJA NYATA,FEBRUARI,0.0
52,PENDIDIKAN,SURAT KETERANGAN PENELITIAN,FEBRUARI,0.0
53,TATA RUANG,KONFIRMASI KKPR NON BERUSAHA,FEBRUARI,97.0
54,TATA RUANG,PERSETUJUAN KKPR NON BERUSAHA,FEBRUARI,9.0
55,TATA RUANG,PEMUTAKHIRAN KONFIRMASI KKPR,FEBRUARI,0.0
56,TATA RUANG,KETERANGAN RENCANA KABUPATEN,FEBRUARI,60.0
57,PEKERJAAN UMUM,IZIN MENGGUNAKAN RUANG MILIK JALAN UNTUK UTILITAS/MEDIA IKLAN/JALAN MASUK (IN GANG),FEBRUARI,8.0
58,PEKERJAAN UMUM,IZIN PENUTUPAN SALURAN DRAINASE,FEBRUARI,3.0
59,PEKERJAAN UMUM,IZIN PENUTUPAN SALURAN IRIGASI DAN SEMPADAN SALURAN IRIGASI,FEBRUARI,15.0
60,PEKERJAAN UMUM,IZIN PEMINDAHAN SALURAN IRIGASI,FEBRUARI,1.0
61,PEKERJAAN UMUM,IZIN REKLAME,FEBRUARI,19.0
62,PEKERJAAN UMUM,PERSETUJUAN BANGUNAN GEDUNG,FEBRUARI,157.0
63,PERHUBUNGAN,IZIN PENYELENGGARAAN FASILITAS PARKIR (RETRIBUSI PARKIR),FEBRUARI,0.0
64,PERHUBUNGAN,IZIN TRAYEK,FEBRUARI,0.0
65,SOSIAL,TANDA DAFTAR LEMBAGA KESEJAHTERAAN SOSIAL,FEBRUARI,0.0
66,TENAGA KERJA,TANDA DAFTAR BURSA KERJA KHUSUS,FEBRUARI,0.0
67,LINGKUNGAN HIDUP,IZIN SAMBUNGAN RUMAH AIR LIMBAH DOMESTIK,FEBRUARI,0.0
68,PERDAGANGAN,TANDA DAFTAR GUDANG,FEBRUARI,0.0
69,PERDAGANGAN,SIUPMB GOL B DAN C,FEBRUARI,0.0
70,PERDAGANGAN,SURAT KETERANGAN PENDIRIAN TOKO SWALAYAN,FEBRUARI,0.0
J  U  M  L  A  H,,,FEBRUARI,778.0
,,,FEBRUARI,407.0
1,KESEHATAN,IZIN PRAKTIK BIDAN,MARET,19.0
2,KESEHATAN,IZIN PRAKTIK PERAWAT,MARET,122.0
3,KESEHATAN,IZIN PRAKTIK TERAPIS GIGI DAN MULUT ,MARET,11.0
4,KESEHATAN,IZIN PRAKTIK PERAWAT SPESIALIS,MARET,0.0
5,KESEHATAN,IZIN PRAKTIK TENAGA KEFARMASIAN,MARET,24.0
6,KESEHATAN,IZIN PRAKTIK FISIOTERAPIS,MARET,12.0
7,KESEHATAN,IZIN PRAKTIK RADIOGRAFER,MARET,2.0
8,KESEHATAN,IZIN PRAKTIK REFRAKSIONIS OPTISIEN,MARET,1.0
9,KESEHATAN,IZIN PRAKTIK OKUPASI TERAPIS ,MARET,3.0
10,KESEHATAN,IZIN PRAKTIK TERAPIS WICARA,MARET,2.0
11,KESEHATAN,IZIN PRAKTIK APOTEKER,MARET,38.0
12,KESEHATAN,IZIN PRAKTIK SANITARIAN/ TENAGA SANITASI LINGKUNGAN,MARET,3.0
13,KESEHATAN,IZIN PRAKTIK AHLI TEKNOLOGI LABORATORIUM MEDIK ,MARET,19.0
14,KESEHATAN,IZIN PRAKTIK PSIKOLOGIS KLINIS,MARET,7.0
15,KESEHATAN,IZIN PRAKTIK PEREKAM MEDIS DAN INFORMASI,MARET,12.0
16,KESEHATAN,IZIN PRAKTIK DOKTER UMUM,MARET,47.0
17,KESEHATAN,IZIN PRAKTIK DOKTER GIGI,MARET,18.0
18,KESEHATAN,IZIN PRAKTIK DOKTER SPESIALIS,MARET,76.0
19,KESEHATAN,IZIN PRAKTIK DOKTER SPESIALIS GIGI,MARET,2.0
20,KESEHATAN,IZIN PRAKTIK LAYANAN DARAH/ TRANSFUSI,MARET,2.0
21,KESEHATAN,IZIN PRAKTIK ELEKTROMEDIS,MARET,1.0
22,KESEHATAN,IZIN PRAKTIK / KERJA TENAGA GIZI,MARET,5.0
23,KESEHATAN,IZIN PRAKTIK PENATA ANESTESI,MARET,7.0
24,KESEHATAN,TEKNISI GIGI,MARET,0.0
25,KESEHATAN,ORTOTIK PROSTETIK,MARET,0.0
26,KESEHATAN,RADIOTERAPIS,MARET,0.0
27,KESEHATAN,AKUPUNKTUR,MARET,0.0
28,KESEHATAN,EPIDEMIOLOG KESEHATAN,MARET,0.0
29,KESEHATAN,TENAGA PROMOSI KESEHATAN DAN ILMU PERILAKU,MARET,0.0
30,KESEHATAN,PEMBIMBING KESEHATAN KERJA,MARET,0.0
31,KESEHATAN,TENAGA ADMINISTRASI DAN KEBIJAKAN KESEHATAN,MARET,0.0
32,KESEHATAN,TENAGA BIOSTATISTIK DAN KEPENDUDUKAN,MARET,0.0
33,KESEHATAN,TENAGA KESEHATAN REPRODUKSI DAN KELUARGA,MARET,0.0
34,KESEHATAN,ENTOMOLOG KESEHATAN,MARET,0.0
35,KESEHATAN,MIKROBIOLOG KESEHATAN,MARET,0.0
36,KESEHATAN,TEKNIS KARDIOVASKULER,MARET,0.0
37,KESEHATAN,AUDIOLOGIS,MARET,0.0
38,KESEHATAN,FISIKAWAN MEDIK,MARET,0.0
39,KESEHATAN,TENAGA KESEHATAN TRADISIONAL RAMUAN,MARET,0.0
40,KESEHATAN,TENAGA KESEHATAN TRADISIONAL KETRAMPILAN,MARET,0.0
41,KESEHATAN,IZIN PRAKTIK PERAWAT GIGI,MARET,0.0
42,PERTANIAN,IZIN PRAKTEK DOKTER HEWAN WARGA NEGARA INDONESIA,MARET,1.0
43,PERTANIAN,IZIN PRAKTEK DOKTER HEWAN WARGA NEGARA ASING,MARET,0.0
44,PERTANIAN,IZIN PRAKTEK PARAMEDIK VETERINER KESEHATAN HEWAN,MARET,0.0
45,PERTANIAN,IZIN  PRAKTIK PARAMEDIK INSEMINATOR  ,MARET,0.0
46,PERTANIAN,IZIN PRAKTEK PARAMEDIK VETERINER PEMERIKSAAN KEBUNTINGAN,MARET,0.0
47,PERTANIAN,IZIN PRAKTEK PARAMEDIK VETERINER ASISTEN TEKNIS REPRODUKSI,MARET,0.0
48,PERTANIAN,SURAT KETERANGAN PEMENUHAN TEMPAT PRAKTIK DOKTER HEWAN,MARET,0.0
49,PENDIDIKAN,"IZIN PENDIRIAN SATUAN PENDIDIKAN NON FORMAL (TPA, SPS, KB, BIMBEL, LKP, TK)",MARET,5.0
50,PENDIDIKAN,"IZIN PENDIRIAN SATUAN PENDIDIKAN (SD,SMP)",MARET,1.0
51,PENDIDIKAN,IZIN KULIAH KERJA NYATA,MARET,2.0
52,PENDIDIKAN,SURAT KETERANGAN PENELITIAN,MARET,0.0
53,TATA RUANG,KONFIRMASI KKPR NON BERUSAHA,MARET,190.0
54,TATA RUANG,PERSETUJUAN KKPR NON BERUSAHA,MARET,75.0
55,TATA RUANG,PEMUTAKHIRAN KONFIRMASI KKPR,MARET,0.0
56,TATA RUANG,KETERANGAN RENCANA KABUPATEN,MARET,28.0
57,PEKERJAAN UMUM,IZIN MENGGUNAKAN RUANG MILIK JALAN UNTUK UTILITAS/MEDIA IKLAN/JALAN MASUK (IN GANG),MARET,7.0
58,PEKERJAAN UMUM,IZIN PENUTUPAN SALURAN DRAINASE,MARET,8.0
59,PEKERJAAN UMUM,IZIN PENUTUPAN SALURAN IRIGASI DAN SEMPADAN SALURAN IRIGASI,MARET,22.0
60,PEKERJAAN UMUM,IZIN PEMINDAHAN SALURAN IRIGASI,MARET,4.0
61,PEKERJAAN UMUM,IZIN REKLAME,MARET,0.0
62,PEKERJAAN UMUM,PERSETUJUAN BANGUNAN GEDUNG,MARET,262.0
63,PERHUBUNGAN,IZIN PENYELENGGARAAN FASILITAS PARKIR (RETRIBUSI PARKIR),MARET,0.0
